ticker,date,shares_outstanding,float_shares,iwf
AFL,2024-06-28,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-01,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-02,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-03,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-05,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-08,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-09,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-10,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-11,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-12,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-15,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-16,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-17,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-18,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-19,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-22,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-23,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-24,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-25,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-26,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-29,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-30,540644992.0,535871132.0,0.9911700652542066
AFL,2024-07-31,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-01,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-02,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-05,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-06,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-07,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-08,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-09,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-12,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-13,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-14,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-15,540644992.0,535871132.0,0.9911700652542066
